순위,가수이름,노래제목
1,아이유,Love wins all
2,비비 (BIBI),밤양갱
3,아이유,Shopper
4,TWS (투어스),첫 만남은 계획대로 되지 않아
5,아이유,홀씨
6,태연 (TAEYEON),To. X
7,임재현,비의 랩소디
8,RIIZE,Love 119
9,LE SSERAFIM (르세라핌),Perfect Night
10,이무진,에피소드
11,너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
12,아이유,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)"
13,aespa,Drama
14,임영웅,사랑은 늘 도망가
15,아이유,관객이 될게 (I stan U)
16,박재정,헤어지자 말해요
17,(여자)아이들,Super Lady
18,LE SSERAFIM (르세라핌),EASY
19,(여자)아이들,Wife
20,범진,인사
21,임영웅,모래 알갱이
22,정국,Seven (feat. Latto) - Clean Ver.
23,임영웅,우리들의 블루스
24,태연 (TAEYEON),꿈
25,VIVIZ (비비지),MANIAC
26,임영웅,Do or Die
27,IVE (아이브),I AM
28,임영웅,다시 만날 수 있을까
29,RIIZE,Get A Guitar
30,임영웅,이제 나만 믿어요
31,임영웅,무지개
32,임영웅,London Boy
33,성시경,너의 모든 순간
34,임영웅,Polaroid
35,임영웅,아버지
36,AKMU (악뮤),Love Lee
37,IVE (아이브),Baddie
38,임영웅,인생찬가
39,임영웅,A bientot
40,DAY6 (데이식스),예뻤어
41,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
42,우디 (Woody),사막에서 꽃을 피우듯
43,제니 (JENNIE),You & Me
44,(여자)아이들,퀸카 (Queencard)
45,NewJeans,Super Shy
46,NewJeans,Hype Boy
47,DAY6 (데이식스),한 페이지가 될 수 있게
48,(여자)아이들,나는 아픈 건 딱 질색이니까
49,NewJeans,Ditto
50,임영웅,연애편지
51,멜로망스,사랑인가 봐
52,정국,Standing Next to You
53,AKMU (악뮤),후라이의 꿈
54,NewJeans,ETA
55,화곡동 청개구리,기억해줘요 내 모든 날과 그때를
56,윤하 (YOUNHA),사건의 지평선
57,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
58,임한별,사랑하지 않아서 그랬어
59,DK(디셈버),심(心)
60,aespa,Spicy
61,볼빨간사춘기,사랑할 수밖에
62,순순희(기태),그대가 내 안에 박혔다(그내박)
63,김민석,취중고백
64,방탄소년단,봄날
65,EXO,첫 눈
66,방탄소년단,Dynamite
67,디오 (D.O.),별 떨어진다 (I Do)
68,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
69,잔나비,주저하는 연인들을 위해
70,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
71,그루비룸 (GroovyRoom),"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)"
72,IVE (아이브),LOVE DIVE
73,#안녕,해요 (2022)
74,IVE (아이브),Kitsch
75,Charlie Puth,I Don't Think That I Like Her
76,지아,사랑..그게 뭔데
77,세븐틴 (SEVENTEEN),손오공
78,허각,물론
79,QWER,Discord
80,NewJeans,OMG
81,세븐틴 (SEVENTEEN),음악의 신
82,IVE (아이브),After LIKE
83,Lauv,Steal The Show (From “엘리멘탈”)
84,"경서예지, 전건호",다정히 내 이름을 부르면
85,로이킴,"그대가 있는 곳, 언제 어디든"
86,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
87,김호중,그중에 그대를 만나
88,전소미,Fast Forward
89,Charlie Puth,Dangerously
90,방탄소년단,Butter
91,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
92,안세하,I Love You
93,"다이나믹 듀오, 이영지","Smoke (Prod. Dynamicduo, Padi)"
94,PLAVE,Merry PLLIstmas
95,PLAVE,여섯 번째 여름
96,NewJeans,Attention
97,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
98,STAYC(스테이씨),Bubble
99,IVE (아이브),Off The Record
100,탑현,나에게 그대만이
